,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp,average_windchill,average_min_daily_windchill,min_min_daily_windchill,average_hi,average_max_daily_hi,avg_hrs_below_fr,total_hr_below_fr
870,29.0,-110.0,68.46626297511419,56.4005305806707,36.325471191406294,68.3199659215265,55.51523089585795,28.019099280186122,68.20002510950331,73.23688965460099,0.0,0.0
871,29.0,-109.375,67.8234121806971,56.29755597403887,35.50281494140629,67.66664915639174,55.52468583450032,28.462245290881793,67.61990457977163,72.3730718873531,0.0,0.0
872,29.0,-108.75,62.60940207492105,51.32649246730166,36.059217529296916,62.181477607169654,49.93245399408567,28.989058148729843,62.590090300362625,67.36937192766858,0.0,0.0
873,29.0,-108.125,54.69235159541791,44.21870232399932,31.499451904296915,53.21743941695508,41.24051621655611,23.76318106060899,54.69235159541791,59.33936286154762,0.0,0.0
874,29.0,-107.5,54.91556199663142,43.19704910792665,30.374396972656292,52.962548149244846,38.021674160105256,20.836566058079942,54.91556199663142,60.11033769586119,0.0,0.0
875,29.0,-106.875,55.415901290379246,43.65257683571807,27.476697998046916,53.659475113608075,38.22557262581473,19.14521209818983,55.415901290379246,60.71081335860697,0.0,0.0
876,29.0,-106.25,60.69617623661344,47.91712686260099,28.386365966796916,60.032983700897326,45.110246301680775,24.644860982340962,60.65899199951529,66.52000033564737,0.0,0.0
877,29.0,-105.625,64.30890803304955,50.91383363873775,31.531092529296917,63.966928328649544,49.296566789101135,28.625119769124552,64.12192272150236,70.51281374231954,0.0,0.0
878,29.0,-105.0,63.60493128401518,50.45093643017031,31.205897216796917,63.201661137875696,48.40162800596278,26.41025137841314,63.46339274693916,69.69316896788058,0.0,0.0
879,29.0,-104.375,62.54493578278622,50.38042642314787,31.059998779296915,61.96069835656561,47.74207688573411,25.026984975823453,62.47799441686796,68.21665403337714,0.0,0.0
880,29.0,-103.75,64.05397831263171,51.90051947090067,30.697889404296916,63.560295254374715,49.726743301280486,26.312774000979374,63.856488000435675,69.57544723382236,0.0,0.0
881,29.0,-103.125,65.3831314464098,52.94533161977707,33.510389404296916,65.1070250596354,51.47482998374621,30.50428537326607,65.10994793812296,70.84680633266578,0.0,0.0
882,29.0,-102.5,60.32367058571809,49.91014245194,32.85648315429692,59.481105308509235,47.03812524800383,24.92616464925267,60.29675823906377,65.13725041586568,0.0,0.0
883,29.0,-101.875,59.60284972801641,47.06946498913714,28.98144042968754,58.16202675163061,43.30928126933061,21.204347012822318,59.47439396151517,66.35890724181901,0.0,0.0
884,29.0,-101.25,63.42088390221763,51.35605926856568,34.12523925781254,62.6603707253046,48.93002980166605,28.08852856627247,63.12184387828697,69.8179535725896,0.0,0.0
885,29.0,-100.625,62.44320439027942,50.72404605479724,35.652558593750044,61.75328459081745,48.38721135845851,27.517363958896436,62.32982236415394,69.24557647319108,0.0,0.0
886,29.0,-100.0,62.10972118934892,50.93006562993774,34.884614257812544,61.414164852551714,48.62167157923254,27.172535030247676,62.063157271575264,68.50797593547576,0.0,0.0
887,29.0,-99.375,61.89475948376606,51.21123662712871,33.87914550781254,61.136439016153716,48.94078965142548,24.758132515376694,61.87084945512843,67.83661323924717,0.0,0.0
888,29.0,-98.75,61.31066702853432,51.22390608541086,33.48539550781254,60.435710525221246,48.874449049689346,23.312231462375728,61.309641427805914,66.8782659224165,0.0,0.0
889,29.0,-98.125,60.62949987175764,51.26861920646071,32.48827636718754,59.58655493668182,48.56432284134323,21.075704214503098,60.659658506412626,65.79736445869867,0.0,0.0
890,29.0,-97.5,61.264652829973926,51.95163799157306,32.82226074218754,60.161817897150705,49.182533102341885,20.98350706187037,61.33828524567885,66.37156793602055,0.0,0.0
891,29.0,-96.875,61.35910068812,53.055383767117306,32.63812988281254,60.34174699272005,50.6228116387322,21.044914605471348,61.40177607851503,65.72306572276726,0.0,0.0
892,29.0,-96.25,62.13024710665932,54.7170844123069,33.091645507812544,61.30503185339708,52.616717805330545,22.064601310804612,62.14125230620324,65.80783728746017,0.0,0.0
893,29.0,-95.625,61.84311633506527,56.605029351738125,35.39789550781254,61.17112811975543,55.02545334703832,24.741147279456758,61.84311633506527,64.51006461497109,0.0,0.0
894,29.0,-95.0,60.5952570917366,58.45655646506323,40.861176757812544,60.04690395294937,57.549354834425515,31.242129201605294,60.5952570917366,62.04074973117102,0.0,0.0
895,29.0,-94.375,60.59446706364671,59.71479038195669,44.036225585937544,60.17756815486129,59.16962442430365,36.01337817836097,60.59446706364671,61.60154904483411,0.0,0.0
896,29.0,-93.75,61.28432946708771,60.51928771286872,45.48323486328129,60.95587453415772,60.006783475347284,37.96397019615731,61.28432946708771,62.144250200250234,0.0,0.0
897,29.0,-93.125,61.62529571533208,60.84264621005973,46.15120361328129,61.323379791692325,60.32261858043551,38.68874876441181,61.62529571533208,62.559412430323974,0.0,0.0
898,29.0,-92.5,61.40725783787423,60.55515190210241,45.59013183593754,61.02997639875729,59.97803732244041,37.58158153764637,61.40725783787423,62.45517130991052,0.0,0.0
899,29.0,-91.875,60.92249660191915,59.97848015603059,44.39481933593754,60.475577206778,59.35135109659309,35.690949414631376,60.92249660191915,61.99865604700673,0.0,0.0
900,29.0,-91.25,61.27637980943323,59.90708507066367,43.34013183593754,60.84932016166546,59.18785124853177,34.197152767645576,61.27637980943323,62.45253335674163,0.0,0.0
901,29.0,-90.625,62.16451951273376,60.536344295887545,43.403413085937544,61.81485128152349,59.82318776217971,34.33420675842055,62.16451951273376,63.30821957020281,0.0,0.0
