,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp,average_windchill,average_min_daily_windchill,min_min_daily_windchill
2161,36.5,-111.25,41.15289123535161,31.133662109375038,27.67791259765629,33.9366699176472,23.20844827596343,18.324263014392855
2162,36.5,-110.625,39.12699401855473,30.71574218750004,26.28001220703129,30.680136381634156,21.109138393465763,15.487453219754823
2163,36.5,-110.0,39.72355163574223,30.23761718750004,26.33274658203129,32.067244924353126,21.527518649969565,17.095050222749858
2164,36.5,-109.375,39.51964538574223,29.939960937500043,26.768684082031292,32.123308910720944,22.296089692271554,20.29872080168555
2165,36.5,-108.75,40.559959106445355,31.452705078125046,29.45418212890629,33.006098334572776,22.534654266630085,21.494091209956245
2166,36.5,-108.125,41.49139831542973,32.161835937500044,30.29837158203129,34.54263217468718,23.956298750960432,20.922700833443585
2167,36.5,-107.5,40.02797363281255,30.83080566406254,27.81699951171879,33.09317919454792,21.969099642920227,17.69361732857735
2168,36.5,-106.875,35.19945495605473,26.34406250000004,22.53762939453129,30.0500320441263,20.57009910514313,13.6464890417212
2169,36.5,-106.25,33.909751586914105,25.784492187500046,20.335090332031292,27.767852299815612,18.45817066796473,11.12832944989906
2170,36.5,-105.625,34.152000122070355,25.639179687500043,19.421027832031292,28.653807297148774,19.250104500678997,9.56352860096175
2171,36.5,-105.0,33.28412597656254,25.89798095703129,17.77571533203129,26.337095185773574,16.854102821427784,6.415895924852382
2172,36.5,-104.375,37.97983825683598,30.552082519531286,23.28645751953129,28.614829114719058,18.424827662248063,8.469896547095146
2173,36.5,-103.75,38.80899475097661,32.75169189453129,24.20403564453129,28.91337750615782,20.539654465282023,9.003504836146067
2174,36.5,-103.125,42.01405456542974,37.00647705078129,26.50589111328129,34.725191134941234,26.34231805143661,12.531644893406412
2175,36.5,-102.5,44.09730041503911,37.10993164062504,29.227424316406292,37.96738366396058,28.741885486040005,16.4114453278432
2176,36.5,-101.875,43.43620269775395,30.053944091796918,29.649573974609417,38.54013307521663,23.289494836063852,19.242901612872863
2177,36.5,-101.25,43.44660308837896,30.143592529296914,28.929749755859415,38.648182085750456,23.03236046068696,21.947029139773587
2178,36.5,-100.625,43.22797515869144,30.019959716796915,28.640589599609417,38.512600217893116,22.535170640004406,22.44520125793808
2179,36.5,-100.0,43.43576324462896,29.59867065429692,27.979652099609417,39.49151968513944,23.26479073594754,22.746137377850175
2180,36.5,-99.375,43.460079650878946,29.679530029296917,28.035023193359415,39.303423894922354,22.12890967537811,21.581924093042197
2181,36.5,-98.75,43.08918121337894,29.594569091796917,28.529847412109415,39.198553785898135,22.272521302747474,21.854455014266097
2182,36.5,-98.125,42.404586486816456,29.437537841796914,28.195863037109415,38.86347116914155,22.894069278948894,21.736376649913154
2183,36.5,-97.5,43.81171539306646,30.421876220703165,27.774866943359417,40.527149275402536,23.808358910915164,20.40020115100886
2184,36.5,-96.875,45.78507965087895,32.274061279296916,29.818323974609417,42.50204935338871,25.31833612324002,22.190338901910938
2185,36.5,-96.25,45.63800933837896,33.08499877929692,30.799183349609415,42.27739624199138,25.922947279927616,22.66501754107249
2186,36.5,-95.625,45.781124572753946,34.21820190429692,32.07183959960942,42.81212484172415,27.30346808372195,24.069784445042373
2187,36.5,-95.0,46.33146636962895,35.21195190429692,33.50094116210941,43.71996939369283,29.74164611224433,27.32599720982138
2188,36.5,-94.375,46.13239410400396,34.27679565429692,33.27594116210942,44.67485630230674,30.615353943829906,29.42694716429838
2189,36.5,-93.75,45.10319488525395,33.440076904296916,33.17398803710942,44.91860398842194,33.440076904296916,33.17398803710942
2190,36.5,-93.125,44.73713043212894,32.912733154296916,32.56600463867191,44.73713043212894,32.912733154296916,32.56600463867191
2191,36.5,-92.5,44.13661773681645,31.757850341796914,31.753675537109416,44.13661773681645,31.757850341796914,31.753675537109416
2192,36.5,-91.875,43.67658355712896,30.400233154296917,29.779652099609415,43.67658355712896,30.400233154296917,29.779652099609415
2193,36.5,-91.25,43.49684722900395,30.396717529296918,29.468519287109416,43.49684722900395,30.396717529296918,29.468519287109416
2194,36.5,-90.625,44.97677886962895,31.950623779296915,30.862464599609417,44.940849211606086,31.950623779296915,30.862464599609417
2195,36.5,-90.0,45.56007965087895,32.859998779296916,31.604261474609416,44.07439180270375,28.978383415819547,27.9825275868706
2196,36.5,-89.375,44.55329254150396,33.662733154296916,32.448011474609416,42.169721318581104,28.806101355577898,27.552218753452678
2197,36.5,-88.75,42.74508941650394,32.48968627929691,31.163050537109417,39.722878903701414,27.524277395554403,25.734058343305122
2198,36.5,-88.125,41.07223785400395,33.66742065429691,32.439222412109416,40.29191868740556,33.66742065429691,32.439222412109416
2199,36.5,-87.5,39.87011383056645,31.927772216796914,30.971448974609416,38.49775507314535,29.91851406653868,27.957561749222066
2200,36.5,-86.875,39.30497711181645,31.89495971679692,31.140198974609415,36.44208781921083,28.178599720198175,25.565658979711298
2201,36.5,-86.25,38.16291168212896,31.531092529296917,30.830823974609416,34.965329311085746,27.610922338227823,24.95056868800578
2202,36.5,-85.625,36.44963043212895,31.147889404296915,30.342152099609415,36.44963043212895,31.147889404296915,30.342152099609415
2203,36.5,-85.0,33.55787094116215,25.277546386718793,24.931275634765665,33.55787094116215,25.277546386718793,24.931275634765665
2204,36.5,-84.375,33.330746917724646,25.93321044921879,25.41110351562504,33.330746917724646,25.93321044921879,25.41110351562504
2205,36.5,-83.75,34.3629856872559,26.907917480468793,25.47086914062504,34.3629856872559,26.907917480468793,25.47086914062504
2206,36.5,-83.125,33.44494979858403,26.65611083984379,24.91012695312504,33.44494979858403,26.65611083984379,24.91012695312504
2207,36.5,-82.5,33.82363021850589,26.736530761718793,24.667548828125042,29.990125597570614,23.35453921533403,22.69803440893852
2208,36.5,-81.875,30.0453587341309,24.275593261718786,23.54079101562504,30.0453587341309,24.275593261718786,23.54079101562504
2209,36.5,-81.25,32.518491058349646,25.90274169921879,24.77653320312504,32.518491058349646,25.90274169921879,24.77653320312504
2210,36.5,-80.625,37.90040023803715,29.54668701171879,27.71911132812504,35.20245902767432,27.38906892704955,27.224047726511806
2211,36.5,-80.0,40.77083480834965,32.39199951171879,29.34157226562504,38.78773188092417,30.423723940842617,29.34157226562504
2212,36.5,-79.375,43.27107589721684,34.890803222656295,30.86142089843754,40.21004730457303,31.4012142067009,27.92121353886492
